img_path,label
oregon_wildlife/nutria/4476d79adca8dffd0d.jpg,4
oregon_wildlife/raven/6cbd0df735649bde06.jpg,6
oregon_wildlife/deer/d0d12bcaebf13c3568.jpg,3
oregon_wildlife/bald_eagle/9c070ff67269473715.jpg,0
oregon_wildlife/cougar/b8a42c4c7576b7d8c4.jpg,2
oregon_wildlife/black_bear/6cd8a2dec42b6aae2f.jpg,1
oregon_wildlife/raccoon/58666802bad997537c.jpg,5
oregon_wildlife/cougar/c2a4ed42e7d3f0e908.jpg,2
oregon_wildlife/nutria/b3918b4c57ba30674a.jpg,4
oregon_wildlife/raccoon/97b4ea5df2aa219f96.jpg,5
oregon_wildlife/virginia_opossum/894d31289ee0ebe908.jpg,9
oregon_wildlife/raccoon/8c2446458105fb2e3b.jpg,5
oregon_wildlife/cougar/b4763b12e6b78a9be3.jpg,2
oregon_wildlife/sea_lions/399950c411f0dd61fd.JPG,8
oregon_wildlife/deer/994e23b6b6c86a76ea.jpg,3
oregon_wildlife/sea_lions/e2dd12e67885b4e7a8.jpg,8
oregon_wildlife/red_fox/f02f3f9938e63e6151.jpg,7
oregon_wildlife/deer/ca85e1cf87ff1e6868.jpg,3
oregon_wildlife/bald_eagle/bfb43a8f190fff4756.jpg,0
oregon_wildlife/raven/6a7272860c597c2580.jpg,6
oregon_wildlife/bald_eagle/0ef148ffde892cb4fe.jpg,0
oregon_wildlife/virginia_opossum/62d54fe42404b570e2.JPG,9
oregon_wildlife/virginia_opossum/22c8b8aeebf0be7993.jpg,9
oregon_wildlife/nutria/a8bdb2f8d58a784166.jpg,4
oregon_wildlife/nutria/392b806a5134903f2c.jpg,4
oregon_wildlife/black_bear/fd9c756f7da74ebed2.jpg,1
oregon_wildlife/raven/3442a3544b07282872.jpg,6
oregon_wildlife/nutria/627caddd15d022c1cf.jpg,4
oregon_wildlife/virginia_opossum/2badc28ca5da25b0a9.jpg,9
oregon_wildlife/deer/93627aba04599e308c.jpg,3
oregon_wildlife/cougar/19cf2adea658b5a071.jpg,2
oregon_wildlife/raven/2ab0129d87a6056425.jpg,6
oregon_wildlife/nutria/2f8e7098dc22aa1ecd.jpg,4
oregon_wildlife/sea_lions/77608f550c46c6361b.jpg,8
oregon_wildlife/bald_eagle/bba8a0d77ab431a309.jpg,0
oregon_wildlife/black_bear/6875ed9c62ae38837e.JPG,1
oregon_wildlife/bald_eagle/c45a9248b58bdd0b67.jpg,0
oregon_wildlife/red_fox/ef8036d61d1f8dde3f.jpg,7
oregon_wildlife/cougar/1394c134630c82d79d.jpg,2
oregon_wildlife/nutria/5c28bc8ea1ccf1ea22.jpeg,4
oregon_wildlife/black_bear/c3c7a11f2437bb2221.jpg,1
oregon_wildlife/cougar/41af0c9ef6e1930373.jpg,2
oregon_wildlife/virginia_opossum/259c2179f7f2283f3e.jpg,9
oregon_wildlife/cougar/239fede67c63582328.jpg,2
oregon_wildlife/raccoon/568a6cdad5aeb0f10e.jpg,5
oregon_wildlife/nutria/b3401e3177757209f1.png,4
oregon_wildlife/deer/a18a19da265ea671d1.jpg,3
oregon_wildlife/virginia_opossum/8e4f55c963810c4a9b.png,9
oregon_wildlife/black_bear/e30c8ee1f397f77db4.jpg,1
oregon_wildlife/cougar/552e23ef37e6f0b464.JPG,2
oregon_wildlife/sea_lions/64e0d8c63544000d05.jpg,8
oregon_wildlife/bald_eagle/7a43eaa4876fecad3d.jpg,0
oregon_wildlife/nutria/6d2626a552260edaf3.jpg,4
oregon_wildlife/raven/8044351198ba65c90d.jpg,6
oregon_wildlife/virginia_opossum/7f7fcfe3457db3a00d.jpg,9
oregon_wildlife/sea_lions/288d65925f23061718.jpg,8
oregon_wildlife/raccoon/afacd9d31032669dbe.jpg,5
oregon_wildlife/cougar/494a725deb2a28950f.jpg,2
oregon_wildlife/black_bear/3c77a8a92b83f2d582.jpg,1
oregon_wildlife/black_bear/cf7a4fd15419856b29.jpg,1
oregon_wildlife/raccoon/6ea1d1848cd4a26fa3.jpg,5
oregon_wildlife/raccoon/dc327b9906bf512045.jpg,5
oregon_wildlife/nutria/e3335399509773d2dc.jpg,4
oregon_wildlife/virginia_opossum/b24eaa9a7f98153c3b.jpg,9
